SYMBOL,logFC,pVal,pAdj,sdSF,sdGC
GNAI3,-0.049922829,0.72191200271742,0.89415206285473,68.12543,91.13149
CDC45,-3.004394522,0.0000116736651589802,0.0005049021419728,7.082646,24.896862
H19,-0.58076072,0.682639362934876,0.877052624359761,10.77423,9.4272
NARF,0.655810939143286,0.0492494970655249,0.24471576501267,114.59354,46.05405
CAV2,0.613581868847217,0.272192293370547,0.595710754445437,62.96824,38.60782
KLF6,-0.180247088,0.279218506138634,0.602248815348201,76.72349,66.53574
SCMH1,-0.149000014,0.629256732728639,0.848409080129043,36.61497,34.32201
COX5A,0.298697389335285,0.227987476635814,0.548223994966418,892.2171,689.1335
WNT9A,1.65203062259743,0.126490055376165,0.411651381630558,19.752369,4.273569
FER,-0.337196027,0.571114501355183,0.817885278305872,37.66695,31.85385
XPO6,-0.078747007,0.72204952979802,0.894180929213604,44.92262,39.25556
TFE3,0.376515320958724,0.394541655135236,0.704450327259105,51.62597,16.90266
AXIN2,-0.073501408,0.810501229991866,0.93067525853131,27.43153,24.49158
BRAT1,0.346819850258688,0.299124748043362,0.622130204584872,29.04756,27.0056
GNA12,0.697171194997106,0.0101404573738997,0.0907770961138635,27.68775,15.32098
SLC22A18,0.410321488509013,0.743228904035093,0.902357614881292,11.83185,15.48477
PIH1D2,-0.689175889,0.505809573591274,0.780576567450741,7.998448,9.90114
DLAT,0.290274939626885,0.327029684440679,0.649619864157284,185.7557,141.0124
SDHD,0.273528126980956,0.303518752743608,0.626525130086575,345.4891,302.7082
CCND2,0.127027078765984,0.574652673219845,0.819251077685709,246.7052,176.1385
GPR107,-0.00917401,0.967295065360236,0.990007534885862,37.31421,30.6196
SLFN4,4.7776408514703,0.00178483686864197,0.026767424188053,21.0853538,0.6867154
SCNN1G,-0.69718884,0.47991151347582,0.764469891798852,7.445779,7.610942
TSPAN32,0.5288046428721,0.00569437383881279,0.0617429440403683,175.5979,142.1547
GMPR,0.819289647969359,0.0266273302167544,0.16899234260386,285.1517,131.3667
MID2,0.122590615104404,0.826497606468142,0.935965568629057,18.08843,14.70879
TRIM25,0.475229064481303,0.146029790314455,0.443442286065442,64.80637,53.05922
DGKE,-0.10024556,0.650751297468259,0.859235373963613,163.3517,170.2231
SCPEP1,0.0486432788316978,0.926063621957614,0.974171784418144,33.5543,18.01576
MNT,-0.01748875,0.967028698675803,0.990007534885862,32.68841,24.93942
ITGB2,0.0607185679541771,0.756929193105839,0.908522638874636,119.32539,78.82495
HDDC2,0.0506672843528195,0.828048857736432,0.936624834964551,47.15408,44.31209
TPD52L1,0.0156391859229393,0.982337261670823,0.994919108996706,12.54575,11.81943
PEMT,1.32243057982959,0.0883479536817262,0.33983368784184,16.316803,7.856658
CDH1,0.913806385862616,0.0030332481547044,0.0390544640015762,22.07318,22.0822
CDH4,-0.110419547,0.709973244353342,0.889426395170449,40.84538,24.05519
CKMT1,1.66149918484058,0.205761084027931,0.523752445557685,10.412665,3.957579
CLEC10A,1.15781457781552,0.0942802744474197,0.351966203391333,9.01611,4.74964
ALOX12,0.451083831330782,0.731136706343943,0.898258585312863,6.203379,6.511057
COMT,0.169087040701762,0.562597880178833,0.813665595940745,131.506,204.7917
RTCA,-0.384530248,0.197526110267217,0.512879984818211,46.38434,29.8308
DBT,0.71854822770849,0.000555147089131528,0.0113620104242253,43.07306,39.12521
DAZAP2,-0.220443887,0.11613744474551,0.395120356751857,92.69652,173.78917
MCTS1,-0.050880908,0.789443312415018,0.922171250459289,83.38697,40.78769
TRAPPC10,0.0206163760392058,0.923483237192002,0.973013260075046,83.84825,39.43354
CCM2,-0.052881705,0.762570174062211,0.910930130105443,104.3059,101.5218
TBRG4,0.449749629491786,0.245133306226508,0.567740035785417,17.09672,12.79617
TMPRSS2,0.423900098928267,0.739534610746608,0.901499590086026,15.54023,15.0474
MX1,0.773715407079732,0.402342289269466,0.710653867078712,14.43976,12.13884
NDUFA9,-0.053141611,0.821972749328953,0.935033429505125,141.9105,137.3926
LCK,0.472223544013093,0.00799343713076359,0.0773984200101209,1854.499,1060.123
CTTNBP2,-1.482486517,0.352436724016889,0.671731159445132,9.221851,14.56459
GALNT1,-0.035170474,0.843082182223414,0.942930733154196,85.69327,94.85841
MKRN2,-0.322217669,0.230556149682752,0.550897291572788,90.5123,72.37237
PPARG,0.0744550441469761,0.908334266404006,0.966361743131721,99.48923,97.07846
RAF1,0.010253055310378,0.952611910737469,0.985857934193704,93.06347,53.13235
SEPTIN1|GM4532,-0.23629758,0.100794768371393,0.366413672716716,150.643,196.9873
PDGFB,0.265598455300534,0.687015462237737,0.877445231442715,23.06723,19.06831
ACVRL1,0.635838409462099,0.283911122688986,0.606360802409676,38.3653,17.01437
TAMALIN,0.302586496528504,0.682924022183069,0.877052624359761,14.757776,3.172102
ACVR1B,-0.108953615,0.789959651275898,0.922395276308951,15.16338,11.94385
TOM1L2,-0.154139992,0.651360952201531,0.859677857929644,38.5699,24.16748
ZFP385A,0.160102634574433,0.77434802327508,0.916215895162352,13.9977,12.90399
ITGA5,0.431460542212243,0.474198405278034,0.76111571449483,42.01279,14.48969
WDR77,-0.167758043,0.595952455202948,0.831315592367935,50.36941,34.25784
ATP5PB,-0.072228917,0.667991169309367,0.86816118020061,498.0994,488.0305
SOX9,0.52990789085932,0.105502570094101,0.375848404997346,56.65235,29.39243
HNRNPD,-0.476216588,0.0161128518890189,0.122228159896497,57.53939,94.89641
DYNLT1C,-0.153122799,0.765018206288675,0.912253621923974,30.28726,30.60814
C1D,-0.100553177,0.511724196964827,0.784525771862914,94.83439,96.40454
GM2A,0.0620353511909406,0.792311438200013,0.923282240837869,163.2648,157.7928
KRIT1,0.786690748415582,0.0000978852296096474,0.0030288320948582,254.9814,149.8315
CLCN4,0.0971246998354439,0.637923328720723,0.85345343568148,117.66703,89.07666
